model,weights,kv,budget,batch,weight_bytes,kv_bytes_per_token,max_length
SmolLM2-135M,int4,bf16,2 GB,16,111574656,23040,5522
SmolLM2-135M,int4,bf16,2 GB,64,111574656,23040,1380
SmolLM2-135M,int4,bf16,4 GB,1,111574656,23040,8192
SmolLM2-135M,int4,bf16,4 GB,4,111574656,23040,8192
SmolLM2-135M,int4,bf16,4 GB,16,111574656,23040,8192
SmolLM2-135M,int4,bf16,4 GB,64,111574656,23040,2837
SmolLM2-135M,int4,bf16,8 GB,1,111574656,23040,8192
SmolLM2-135M,int4,bf16,8 GB,4,111574656,23040,8192
SmolLM2-135M,int4,bf16,8 GB,16,111574656,23040,8192
SmolLM2-135M,int4,bf16,8 GB,64,111574656,23040,5749
SmolLM2-135M,int4,int8,256 MB,1,111574656,11880,8192
SmolLM2-135M,int4,int8,256 MB,4,111574656,11880,3300
SmolLM2-135M,int4,int8,256 MB,16,111574656,11880,825
SmolLM2-135M,int4,int8,256 MB,64,111574656,11880,206
SmolLM2-135M,int4,int8,512 MB,1,111574656,11880,8192
SmolLM2-135M,int4,int8,512 MB,4,111574656,11880,8192
SmolLM2-135M,int4,int8,512 MB,16,111574656,11880,2237
SmolLM2-135M,int4,int8,512 MB,64,111574656,11880,559
SmolLM2-135M,int4,int8,1 GB,1,111574656,11880,8192
SmolLM2-135M,int4,int8,1 GB,4,111574656,11880,8192
SmolLM2-135M,int4,int8,1 GB,16,111574656,11880,5061
SmolLM2-135M,int4,int8,1 GB,64,111574656,11880,1265
SmolLM2-135M,int4,int8,2 GB,1,111574656,11880,8192
SmolLM2-135M,int4,int8,2 GB,4,111574656,11880,8192
SmolLM2-135M,int4,int8,2 GB,16,111574656,11880,8192
SmolLM2-135M,int4,int8,2 GB,64,111574656,11880,2677
SmolLM2-135M,int4,int8,4 GB,1,111574656,11880,8192
SmolLM2-135M,int4,int8,4 GB,4,111574656,11880,8192
SmolLM2-135M,int4,int8,4 GB,16,111574656,11880,8192
SmolLM2-135M,int4,int8,4 GB,64,111574656,11880,5502
SmolLM2-135M,int4,int8,8 GB,1,111574656,11880,8192
SmolLM2-135M,int4,int8,8 GB,4,111574656,11880,8192
SmolLM2-135M,int4,int8,8 GB,16,111574656,11880,8192
SmolLM2-135M,int4,int8,8 GB,64,111574656,11880,8192
SmolLM2-135M,int4,int4,256 MB,1,111574656,6120,8192
SmolLM2-135M,int4,int4,256 MB,4,111574656,6120,6407
SmolLM2-135M,int4,int4,256 MB,16,111574656,6120,1601
SmolLM2-135M,int4,int4,256 MB,64,111574656,6120,400
SmolLM2-135M,int4,int4,512 MB,1,111574656,6120,8192
SmolLM2-135M,int4,int4,512 MB,4,111574656,6120,8192
SmolLM2-135M,int4,int4,512 MB,16,111574656,6120,4343
SmolLM2-135M,int4,int4,512 MB,64,111574656,6120,1085
SmolLM2-135M,int4,int4,1 GB,1,111574656,6120,8192
SmolLM2-135M,int4,int4,1 GB,4,111574656,6120,8192
SmolLM2-135M,int4,int4,1 GB,16,111574656,6120,8192
SmolLM2-135M,int4,int4,1 GB,64,111574656,6120,2456
SmolLM2-135M,int4,int4,2 GB,1,111574656,6120,8192
SmolLM2-135M,int4,int4,2 GB,4,111574656,6120,8192
SmolLM2-135M,int4,int4,2 GB,16,111574656,6120,8192
SmolLM2-135M,int4,int4,2 GB,64,111574656,6120,5197
SmolLM2-135M,int4,int4,4 GB,1,111574656,6120,8192
SmolLM2-135M,int4,int4,4 GB,4,111574656,6120,8192
SmolLM2-135M,int4,int4,4 GB,16,111574656,6120,8192
SmolLM2-135M,int4,int4,4 GB,64,111574656,6120,8192
SmolLM2-135M,int4,int4,8 GB,1,111574656,6120,8192
SmolLM2-135M,int4,int4,8 GB,4,111574656,6120,8192
SmolLM2-135M,int4,int4,8 GB,16,111574656,6120,8192
SmolLM2-135M,int4,int4,8 GB,64,111574656,6120,8192
