model,phase,batch,peak_tmacs,bandwidth_gbs,sram,compute_ms,memory_ms,latency_ms
GPT-2,decode,1,0.5,64,4 MB,0.2679,5.4085,5.4085
GPT-2,decode,1,0.5,128,4 MB,0.2679,2.7042,2.7042
GPT-2,decode,1,0.5,256,4 MB,0.2679,1.3521,1.3522
GPT-2,decode,1,0.5,512,4 MB,0.2679,0.6761,0.6766
GPT-2,decode,1,1.0,4,4 MB,0.1339,86.5353,86.5353
GPT-2,decode,1,1.0,8,4 MB,0.1339,43.2677,43.2677
GPT-2,decode,1,1.0,16,4 MB,0.1339,21.6338,21.6338
GPT-2,decode,1,1.0,32,4 MB,0.1339,10.8169,10.8169
GPT-2,decode,1,1.0,64,4 MB,0.1339,5.4085,5.4085
GPT-2,decode,1,1.0,128,4 MB,0.1339,2.7042,2.7042
GPT-2,decode,1,1.0,256,4 MB,0.1339,1.3521,1.3521
GPT-2,decode,1,1.0,512,4 MB,0.1339,0.6761,0.6761
GPT-2,decode,1,2.0,4,4 MB,0.0670,86.5353,86.5353
GPT-2,decode,1,2.0,8,4 MB,0.0670,43.2677,43.2677
GPT-2,decode,1,2.0,16,4 MB,0.0670,21.6338,21.6338
GPT-2,decode,1,2.0,32,4 MB,0.0670,10.8169,10.8169
GPT-2,decode,1,2.0,64,4 MB,0.0670,5.4085,5.4085
GPT-2,decode,1,2.0,128,4 MB,0.0670,2.7042,2.7042
GPT-2,decode,1,2.0,256,4 MB,0.0670,1.3521,1.3521
GPT-2,decode,1,2.0,512,4 MB,0.0670,0.6761,0.6761
GPT-2,decode,1,4.0,4,4 MB,0.0335,86.5353,86.5353
GPT-2,decode,1,4.0,8,4 MB,0.0335,43.2677,43.2677
GPT-2,decode,1,4.0,16,4 MB,0.0335,21.6338,21.6338
GPT-2,decode,1,4.0,32,4 MB,0.0335,10.8169,10.8169
GPT-2,decode,1,4.0,64,4 MB,0.0335,5.4085,5.4085
GPT-2,decode,1,4.0,128,4 MB,0.0335,2.7042,2.7042
GPT-2,decode,1,4.0,256,4 MB,0.0335,1.3521,1.3521
GPT-2,decode,1,4.0,512,4 MB,0.0335,0.6761,0.6761
GPT-2,decode,1,8.0,4,4 MB,0.0167,86.5353,86.5353
GPT-2,decode,1,8.0,8,4 MB,0.0167,43.2677,43.2677
GPT-2,decode,1,8.0,16,4 MB,0.0167,21.6338,21.6338
GPT-2,decode,1,8.0,32,4 MB,0.0167,10.8169,10.8169
GPT-2,decode,1,8.0,64,4 MB,0.0167,5.4085,5.4085
GPT-2,decode,1,8.0,128,4 MB,0.0167,2.7042,2.7042
GPT-2,decode,1,8.0,256,4 MB,0.0167,1.3521,1.3521
GPT-2,decode,1,8.0,512,4 MB,0.0167,0.6761,0.6761
GPT-2,decode,1,16.0,4,4 MB,0.0084,86.5353,86.5353
GPT-2,decode,1,16.0,8,4 MB,0.0084,43.2677,43.2677
GPT-2,decode,1,16.0,16,4 MB,0.0084,21.6338,21.6338
GPT-2,decode,1,16.0,32,4 MB,0.0084,10.8169,10.8169
GPT-2,decode,1,16.0,64,4 MB,0.0084,5.4085,5.4085
