model,phase,batch,point,operator,macs,bytes,intensity,compute_ms,memory_ms,latency_ms,bound
SmolLM2-135M,decode,1,edge,Linear,134479872,269885184,0.4983,0.0672,16.8678,16.8678,memory
SmolLM2-135M,decode,1,edge,Softmax,691200,552960,1.2500,0.0003,0.0346,0.0346,memory
SmolLM2-135M,decode,1,edge,GroupedQueryAttention,17832960,36011520,0.4952,0.0089,2.2507,2.2507,memory
SmolLM2-135M,decode,1,edge,SiLU,92160,184320,0.5000,0.0000,0.0115,0.0115,memory
SmolLM2-135M,decode,1,mid,Embedding,0,56624258,0.0000,0.0000,0.4424,0.4424,memory
SmolLM2-135M,decode,1,mid,RotaryEmbedding,80800,107842,0.7492,0.0000,0.0008,0.0008,memory
SmolLM2-135M,decode,1,mid,RMSNorm,140727,210816,0.6675,0.0000,0.0016,0.0016,memory
SmolLM2-135M,decode,1,mid,Linear,134479872,269776896,0.4985,0.0084,2.1076,2.1076,memory
SmolLM2-135M,decode,1,mid,Softmax,691200,552960,1.2500,0.0000,0.0043,0.0043,memory
SmolLM2-135M,decode,1,mid,GroupedQueryAttention,17832960,36011520,0.4952,0.0011,0.2813,0.2813,memory
SmolLM2-135M,decode,1,mid,SiLU,92160,184320,0.5000,0.0000,0.0014,0.0014,memory
SmolLM2-135M,decode,1,high,Embedding,0,56624258,0.0000,0.0000,0.1106,0.1106,memory
SmolLM2-135M,decode,1,high,RotaryEmbedding,80800,107842,0.7492,0.0000,0.0002,0.0002,memory
SmolLM2-135M,decode,1,high,RMSNorm,140727,210816,0.6675,0.0000,0.0004,0.0004,memory
SmolLM2-135M,decode,1,high,Linear,134479872,269776896,0.4985,0.0021,0.5269,0.5269,memory
SmolLM2-135M,decode,1,high,Softmax,691200,552960,1.2500,0.0000,0.0011,0.0011,memory
